Name,Category,Location,Lat,Lon,Municipality,Province,Tags,PhotoHint
Cafe by the Ruins,Cafe,"Baguio, Benguet",16.4143,120.5988,Baguio,Benguet,cafe,Cafe by the Ruins Baguio Benguet Philippines
Choco-late de Batirol,Cafe,"Baguio, Benguet",16.4,120.615,Baguio,Benguet,cafe,Choco-late de Batirol Baguio Benguet Philippines
Vizco's Restaurant & Cake Shop,Cafe,"Baguio, Benguet",16.4115,120.596,Baguio,Benguet,cafe,Vizco's Restaurant & Cake Shop Baguio Benguet Philippines
Patch Cafe,Cafe,"Baguio, Benguet",16.4125,120.597,Baguio,Benguet,cafe,Patch Cafe Baguio Benguet Philippines
Cafe Sabel,Cafe,"Tuba, Benguet",16.4105,120.5504,Tuba,Benguet,cafe,Cafe Sabel Tuba Benguet Philippines
Commune,Cafe,"Makati, NCR",14.563,121.031,Makati,NCR,cafe,Commune Makati NCR Philippines
Yardstick Coffee,Cafe,"Makati, NCR",14.557,121.022,Makati,NCR,cafe,Yardstick Coffee Makati NCR Philippines
The Curator,Cafe,"Makati, NCR",14.554,121.02,Makati,NCR,cafe,The Curator Makati NCR Philippines
Satchmi,Cafe,"Mandaluyong, NCR",14.5841,121.0567,Mandaluyong,NCR,cafe,Satchmi Mandaluyong NCR Philippines
Talisay The Garden Cafe,Cafe,"Quezon City, NCR",14.646,121.06,Quezon City,NCR,cafe,Talisay The Garden Cafe Quezon City NCR Philippines
SGD Coffee Bodega,Cafe,"Quezon City, NCR",14.645,121.058,Quezon City,NCR,cafe,SGD Coffee Bodega Quezon City NCR Philippines
Chapter Coffee,Cafe,"Quezon City, NCR",14.644,121.059,Quezon City,NCR,cafe,Chapter Coffee Quezon City NCR Philippines
Kandle Cafe,Cafe,"Quezon City, NCR",14.63,121.03,Quezon City,NCR,cafe,Kandle Cafe Quezon City NCR Philippines
Rustic Mornings by Isabelo,Cafe,"Marikina, NCR",14.625,121.095,Marikina,NCR,cafe,Rustic Mornings by Isabelo Marikina NCR Philippines
Burrow Cafe,Cafe,"Antipolo, Rizal",14.61,121.19,Antipolo,Rizal,cafe,Burrow Cafe Antipolo Rizal Philippines
Crescent Moon Cafe,Cafe,"Antipolo, Rizal",14.59,121.18,Antipolo,Rizal,cafe,Crescent Moon Cafe Antipolo Rizal Philippines
Luljetta's Hanging Gardens,Cafe,"Antipolo, Rizal",14.58,121.16,Antipolo,Rizal,cafe,Luljetta's Hanging Gardens Antipolo Rizal Philippines
Kape Sina Una,Cafe,"Antipolo, Rizal",14.62,121.18,Antipolo,Rizal,cafe,Kape Sina Una Antipolo Rizal Philippines
Coffee Project Crosswinds,Cafe,"Tagaytay, Cavite",14.14,121.01,Tagaytay,Cavite,cafe,Coffee Project Crosswinds Tagaytay Cavite Philippines
Ruined Project?,Cafe,"Tagaytay, Cavite",14.135,121.005,Tagaytay,Cavite,cafe,Ruined Project? Tagaytay Cavite Philippines
Kuuma Kaakao,Cafe,"Tagaytay, Cavite",14.1,120.95,Tagaytay,Cavite,cafe,Kuuma Kaakao Tagaytay Cavite Philippines
Tsokolateria,Cafe,"Tagaytay, Cavite",14.105,120.955,Tagaytay,Cavite,cafe,Tsokolateria Tagaytay Cavite Philippines
El Union Coffee,Cafe,"San Juan, La Union",16.666,120.32,San Juan,La Union,cafe,El Union Coffee San Juan La Union Philippines
Clean Beach,Cafe,"San Juan, La Union",16.665,120.321,San Juan,La Union,cafe,Clean Beach San Juan La Union Philippines
Makai Bowls,Cafe,"San Juan, La Union",16.667,120.322,San Juan,La Union,cafe,Makai Bowls San Juan La Union Philippines
National Museum of Fine Arts,Museum,"Manila, NCR",14.5869,120.9812,Manila,NCR,museum,National Museum of Fine Arts Manila NCR Philippines
National Museum of Anthropology,Museum,"Manila, NCR",14.585,120.982,Manila,NCR,museum,National Museum of Anthropology Manila NCR Philippines
National Museum of Natural History,Museum,"Manila, NCR",14.584,120.983,Manila,NCR,museum,National Museum of Natural History Manila NCR Philippines
Ayala Museum,Museum,"Makati, NCR",14.5539,121.0233,Makati,NCR,museum,Ayala Museum Makati NCR Philippines
The Mind Museum,Museum,"Taguig, NCR",14.5519,121.0456,Taguig,NCR,museum,The Mind Museum Taguig NCR Philippines
Pinto Art Museum,Museum,"Antipolo, Rizal",14.5812,121.1643,Antipolo,Rizal,museum,Pinto Art Museum Antipolo Rizal Philippines
BenCab Museum,Museum,"Tuba, Benguet",16.4105,120.5504,Tuba,Benguet,museum,BenCab Museum Tuba Benguet Philippines
Museo Kordilyera,Museum,"Baguio, Benguet",16.415,120.6,Baguio,Benguet,museum,Museo Kordilyera Baguio Benguet Philippines
Aguinaldo Shrine,Museum,"Kawit, Cavite",14.4452,120.9067,Kawit,Cavite,museum,Aguinaldo Shrine Kawit Cavite Philippines
Museo Orlina,Museum,"Tagaytay, Cavite",14.113,120.963,Tagaytay,Cavite,museum,Museo Orlina Tagaytay Cavite Philippines
Las Casas Filipinas de Acuzar,Museum,"Bagac, Bataan",14.6027,120.3853,Bagac,Bataan,museum,Las Casas Filipinas de Acuzar Bagac Bataan Philippines
Mt. Samat National Shrine,Museum,"Pilar, Bataan",14.606,120.509,Pilar,Bataan,museum,Mt. Samat National Shrine Pilar Bataan Philippines
Museo Ilocos Norte,Museum,"Laoag, Ilocos Norte",18.196,120.5927,Laoag,Ilocos Norte,museum,Museo Ilocos Norte Laoag Ilocos Norte Philippines
Crisologo Museum,Museum,"Vigan, Ilocos Sur",17.573,120.388,Vigan,Ilocos Sur,museum,Crisologo Museum Vigan Ilocos Sur Philippines
Bahay Tsinoy,Museum,"Intramuros, Manila",14.59,120.973,Intramuros,Manila,museum,Bahay Tsinoy Intramuros Manila Philippines
Casa Manila,Museum,"Intramuros, Manila",14.5895,120.974,Intramuros,Manila,museum,Casa Manila Intramuros Manila Philippines
Metropolitan Museum of Manila,Museum,"Taguig, NCR",14.552,121.045,Taguig,NCR,museum,Metropolitan Museum of Manila Taguig NCR Philippines
Art In Island,Museum,"Quezon City, NCR",14.615,121.055,Quezon City,NCR,museum,Art In Island Quezon City NCR Philippines
Quezon City Experience (QCX),Museum,"Quezon City, NCR",14.651,121.05,Quezon City,NCR,museum,Quezon City Experience (QCX) Quezon City NCR Philippines
Ateneo Art Gallery,Museum,"Quezon City, NCR",14.64,121.078,Quezon City,NCR,museum,Ateneo Art Gallery Quezon City NCR Philippines
Vargas Museum,Museum,"Quezon City, NCR",14.653,121.069,Quezon City,NCR,museum,Vargas Museum Quezon City NCR Philippines
Museo de La Salle,Museum,"Dasmarinas, Cavite",14.32,120.95,Dasmarinas,Cavite,museum,Museo de La Salle Dasmarinas Cavite Philippines
Blanco Family Museum,Museum,"Angono, Rizal",14.525,121.155,Angono,Rizal,museum,Blanco Family Museum Angono Rizal Philippines
Angono Petroglyphs,Museum,"Angono, Rizal",14.53,121.18,Angono,Rizal,museum,Angono Petroglyphs Angono Rizal Philippines
Rizal Shrine Calamba,Museum,"Calamba, Laguna",14.21,121.16,Calamba,Laguna,museum,Rizal Shrine Calamba Calamba Laguna Philippines
Nagcarlan Underground Cemetery,Museum,"Nagcarlan, Laguna",14.138,121.415,Nagcarlan,Laguna,museum,Nagcarlan Underground Cemetery Nagcarlan Laguna Philippines
Museum of the Women of Malolos,Museum,"Malolos, Bulacan",14.845,120.81,Malolos,Bulacan,museum,Museum of the Women of Malolos Malolos Bulacan Philippines
Mt. Pulag,Nature Park,"Kabayan, Benguet",16.5976,120.8997,Kabayan,Benguet,nature park,Mt. Pulag Kabayan Benguet Philippines
Mt. Ulap,Nature Park,"Itogon, Benguet",16.29,120.63,Itogon,Benguet,nature park,Mt. Ulap Itogon Benguet Philippines
Mt. Pinatubo,Nature Park,"Botolan, Zambales",15.13,120.35,Botolan,Zambales,nature park,Mt. Pinatubo Botolan Zambales Philippines
Masungi Georeserve,Nature Park,"Baras, Rizal",14.605,121.338,Baras,Rizal,nature park,Masungi Georeserve Baras Rizal Philippines
Hundred Islands National Park,Nature Park,"Alaminos, Pangasinan",16.2045,120.0409,Alaminos,Pangasinan,nature park,Hundred Islands National Park Alaminos Pangasinan Philippines
La Mesa Ecopark,Nature Park,"Quezon City, NCR",14.7102,121.0708,Quezon City,NCR,nature park,La Mesa Ecopark Quezon City NCR Philippines
Ninoy Aquino Parks and Wildlife,Nature Park,"Quezon City, NCR",14.651,121.043,Quezon City,NCR,nature park,Ninoy Aquino Parks and Wildlife Quezon City NCR Philippines
Mt. Makiling,Nature Park,"Los Banos, Laguna",14.135,121.2,Los Banos,Laguna,nature park,Mt. Makiling Los Banos Laguna Philippines
Mt. Banahaw,Nature Park,"Dolores, Quezon",14.066,121.483,Dolores,Quezon,nature park,Mt. Banahaw Dolores Quezon Philippines
Biak-na-Bato National Park,Nature Park,"San Miguel, Bulacan",15.116,121.083,San Miguel,Bulacan,nature park,Biak-na-Bato National Park San Miguel Bulacan Philippines
Bataan National Park,Nature Park,"Samal, Bataan",14.61,120.45,Samal,Bataan,nature park,Bataan National Park Samal Bataan Philippines
Minalungao National Park,Nature Park,"General Tinio, Nueva Ecija",15.29,121.13,General Tinio,Nueva Ecija,nature park,Minalungao National Park General Tinio Nueva Ecija Philippines
Pamitinan Protected Landscape,Nature Park,"Rodriguez, Rizal",14.73,121.18,Rodriguez,Rizal,nature park,Pamitinan Protected Landscape Rodriguez Rizal Philippines
Mt. Daraitan,Nature Park,"Tanay, Rizal",14.613,121.42,Tanay,Rizal,nature park,Mt. Daraitan Tanay Rizal Philippines
Mt. Batulao,Nature Park,"Nasugbu, Batangas",14.03,120.8,Nasugbu,Batangas,nature park,Mt. Batulao Nasugbu Batangas Philippines
Mt. Maculot,Nature Park,"Cuenca, Batangas",13.91,121.04,Cuenca,Batangas,nature park,Mt. Maculot Cuenca Batangas Philippines
Mt. Gulugod Baboy,Nature Park,"Mabini, Batangas",13.73,120.89,Mabini,Batangas,nature park,Mt. Gulugod Baboy Mabini Batangas Philippines
Mayon Volcano Natural Park,Nature Park,"Albay, Bicol",13.2548,123.685,Albay,Bicol,nature park,Mayon Volcano Natural Park Albay Bicol Philippines
Bulusan Volcano Natural Park,Nature Park,"Sorsogon, Bicol",12.77,124.05,Sorsogon,Bicol,nature park,Bulusan Volcano Natural Park Sorsogon Bicol Philippines
Caramoan National Park,Nature Park,"Caramoan, Camarines Sur",13.8,123.86,Caramoan,Camarines Sur,nature park,Caramoan National Park Caramoan Camarines Sur Philippines
Northern Sierra Madre Natural Park,Nature Park,Isabela,17.0,122.2,Isabela,Isabela,nature park,Northern Sierra Madre Natural Park Isabela Isabela Philippines
Banaue Rice Terraces,Tourist Attraction,"Banaue, Ifugao",16.9294,121.0552,Banaue,Ifugao,tourist attraction,Banaue Rice Terraces Banaue Ifugao Philippines
Batad Rice Terraces,Hidden Gem,"Banaue, Ifugao",16.94,121.13,Banaue,Ifugao,hidden gem,Batad Rice Terraces Banaue Ifugao Philippines
Sagada Hanging Coffins,Tourist Attraction,"Sagada, Mountain Province",17.08,120.9,Sagada,Mountain Province,tourist attraction,Sagada Hanging Coffins Sagada Mountain Province Philippines
Sumaguing Cave,Tourist Attraction,"Sagada, Mountain Province",17.081,120.903,Sagada,Mountain Province,tourist attraction,Sumaguing Cave Sagada Mountain Province Philippines
Calle Crisologo,Tourist Attraction,"Vigan, Ilocos Sur",17.5727,120.3776,Vigan,Ilocos Sur,tourist attraction,Calle Crisologo Vigan Ilocos Sur Philippines
Paoay Church,Tourist Attraction,"Paoay, Ilocos Norte",18.062,120.521,Paoay,Ilocos Norte,tourist attraction,Paoay Church Paoay Ilocos Norte Philippines
Bangui Windmills,Tourist Attraction,"Bangui, Ilocos Norte",18.528,120.718,Bangui,Ilocos Norte,tourist attraction,Bangui Windmills Bangui Ilocos Norte Philippines
Kapurpurawan Rock Formation,Hidden Gem,"Burgos, Ilocos Norte",18.5386,120.6536,Burgos,Ilocos Norte,hidden gem,Kapurpurawan Rock Formation Burgos Ilocos Norte Philippines
Taal Volcano,Tourist Attraction,"Talisay, Batangas",14.0106,120.9975,Talisay,Batangas,tourist attraction,Taal Volcano Talisay Batangas Philippines
Fantasy World,Tourist Attraction,"Lemery, Batangas",13.96,120.85,Lemery,Batangas,tourist attraction,Fantasy World Lemery Batangas Philippines
Corregidor Island,Historical Site,Cavite City,14.38,120.57,Cavite City,Cavite City,historical site,Corregidor Island Cavite City Cavite City Philippines
Pagsanjan Falls,Tourist Attraction,"Cavinti, Laguna",14.26,121.45,Cavinti,Laguna,tourist attraction,Pagsanjan Falls Cavinti Laguna Philippines
Hulugan Falls,Hidden Gem,"Luisiana, Laguna",14.195,121.505,Luisiana,Laguna,hidden gem,Hulugan Falls Luisiana Laguna Philippines
Aliw Falls,Hidden Gem,"Luisiana, Laguna",14.19,121.5,Luisiana,Laguna,hidden gem,Aliw Falls Luisiana Laguna Philippines
Daranak Falls,Tourist Attraction,"Tanay, Rizal",14.52,121.36,Tanay,Rizal,tourist attraction,Daranak Falls Tanay Rizal Philippines
Tinipak River,Hidden Gem,"Tanay, Rizal",14.633,121.378,Tanay,Rizal,hidden gem,Tinipak River Tanay Rizal Philippines
Anawangin Cove,Hidden Gem,"San Antonio, Zambales",14.868,120.076,San Antonio,Zambales,hidden gem,Anawangin Cove San Antonio Zambales Philippines
Nagsasa Cove,Hidden Gem,"San Antonio, Zambales",14.83,120.06,San Antonio,Zambales,hidden gem,Nagsasa Cove San Antonio Zambales Philippines
Potipot Island,Hidden Gem,"Candelaria, Zambales",15.7,119.92,Candelaria,Zambales,hidden gem,Potipot Island Candelaria Zambales Philippines
Calaguas Islands,Hidden Gem,"Vinzons, Camarines Norte",14.45,122.92,Vinzons,Camarines Norte,hidden gem,Calaguas Islands Vinzons Camarines Norte Philippines
Cagsawa Ruins,Tourist Attraction,"Daraga, Albay",13.167,123.683,Daraga,Albay,tourist attraction,Cagsawa Ruins Daraga Albay Philippines
Donsol Whale Shark Center,Tourist Attraction,"Donsol, Sorsogon",12.9,123.6,Donsol,Sorsogon,tourist attraction,Donsol Whale Shark Center Donsol Sorsogon Philippines
Subic Bay Freeport Zone,Tourist Attraction,"Subic, Zambales",14.82,120.28,Subic,Zambales,tourist attraction,Subic Bay Freeport Zone Subic Zambales Philippines
Inflatable Island,Tourist Attraction,"Subic, Zambales",14.85,120.3,Subic,Zambales,tourist attraction,Inflatable Island Subic Zambales Philippines
Enchanted Kingdom,Tourist Attraction,"Santa Rosa, Laguna",14.282,121.096,Santa Rosa,Laguna,tourist attraction,Enchanted Kingdom Santa Rosa Laguna Philippines
Sky Ranch Tagaytay,Tourist Attraction,"Tagaytay, Cavite",14.096,120.936,Tagaytay,Cavite,tourist attraction,Sky Ranch Tagaytay Tagaytay Cavite Philippines
Villa Escudero,Tourist Attraction,"Tiaong, Quezon",13.99,121.34,Tiaong,Quezon,tourist attraction,Villa Escudero Tiaong Quezon Philippines
Kamay ni Hesus,Tourist Attraction,"Lucban, Quezon",14.12,121.56,Lucban,Quezon,tourist attraction,Kamay ni Hesus Lucban Quezon Philippines
Tangadan Falls,Hidden Gem,"San Gabriel, La Union",16.64,120.45,San Gabriel,La Union,hidden gem,Tangadan Falls San Gabriel La Union Philippines
Immuki Island,Hidden Gem,"Balaoan, La Union",16.82,120.36,Balaoan,La Union,hidden gem,Immuki Island Balaoan La Union Philippines
Maligcong Rice Terraces,Hidden Gem,"Bontoc, Mountain Province",17.07,120.99,Bontoc,Mountain Province,hidden gem,Maligcong Rice Terraces Bontoc Mountain Province Philippines
Buscalan Village,Hidden Gem,"Tinglayan, Kalinga",17.18,121.05,Tinglayan,Kalinga,hidden gem,Buscalan Village Tinglayan Kalinga Philippines
Cathedral Rock,Dive Spot,"Anilao, Batangas",13.75,120.88,Anilao,Batangas,dive spot,Cathedral Rock Anilao Batangas Philippines
Twin Rocks,Dive Spot,"Anilao, Batangas",13.74,120.885,Anilao,Batangas,dive spot,Twin Rocks Anilao Batangas Philippines
Mainit Point,Dive Spot,"Anilao, Batangas",13.72,120.89,Anilao,Batangas,dive spot,Mainit Point Anilao Batangas Philippines
Sombrero Island Dive,Dive Spot,"Tingloy, Batangas",13.7,120.82,Tingloy,Batangas,dive spot,Sombrero Island Dive Tingloy Batangas Philippines
Kirby's Rock,Dive Spot,"Anilao, Batangas",13.76,120.9,Anilao,Batangas,dive spot,Kirby's Rock Anilao Batangas Philippines
Beatrice Rock,Dive Spot,"Anilao, Batangas",13.73,120.87,Anilao,Batangas,dive spot,Beatrice Rock Anilao Batangas Philippines
Vanitea Cafe,Cafe,"Quezon City, NCR",14.6465,121.0595,Quezon City,NCR,cafe,Vanitea Cafe Quezon City NCR Philippines
Friuli Trattoria,Restaurant,"Quezon City, NCR",14.6455,121.0588,Quezon City,NCR,restaurant,Friuli Trattoria Quezon City NCR Philippines
Habanero Kitchen Bar,Restaurant,"Quezon City, NCR",14.621,121.052,Quezon City,NCR,restaurant,Habanero Kitchen Bar Quezon City NCR Philippines
Bellini's,Restaurant,"Quezon City, NCR",14.6215,121.0525,Quezon City,NCR,restaurant,Bellini's Quezon City NCR Philippines
Arroceros Forest Park,Nature Park,"Manila, NCR",14.594,120.982,Manila,NCR,nature park,Arroceros Forest Park Manila NCR Philippines
Las Piñas-Parañaque Critical Habitat,Nature Park,"Parañaque, NCR",14.495,120.985,Parañaque,NCR,nature park,Las Piñas-Parañaque Critical Habitat Parañaque NCR Philippines
UP Diliman Academic Oval,Nature Park,"Quezon City, NCR",14.654,121.065,Quezon City,NCR,nature park,UP Diliman Academic Oval Quezon City NCR Philippines
La Mesa Watershed,Nature Park,"Quezon City, NCR",14.72,121.08,Quezon City,NCR,nature park,La Mesa Watershed Quezon City NCR Philippines
Paco Park,Hidden Gem,"Manila, NCR",14.581,120.988,Manila,NCR,hidden gem,Paco Park Manila NCR Philippines
Escolta Street,Hidden Gem,"Manila, NCR",14.598,120.978,Manila,NCR,hidden gem,Escolta Street Manila NCR Philippines
The Den,Cafe,"Manila, NCR",14.5985,120.9785,Manila,NCR,cafe,The Den Manila NCR Philippines
Blocleaf Cafe,Cafe,"Manila, NCR",14.568,120.99,Manila,NCR,cafe,Blocleaf Cafe Manila NCR Philippines
Ying Ying Tea House,Restaurant,"Manila, NCR",14.598,120.976,Manila,NCR,restaurant,Ying Ying Tea House Manila NCR Philippines
Lan Zhou La Mien,Restaurant,"Manila, NCR",14.601,120.975,Manila,NCR,restaurant,Lan Zhou La Mien Manila NCR Philippines
Presidential Car Museum,Museum,"Quezon City, NCR",14.65,121.045,Quezon City,NCR,museum,Presidential Car Museum Quezon City NCR Philippines
Museo Pambata,Museum,"Manila, NCR",14.578,120.976,Manila,NCR,museum,Museo Pambata Manila NCR Philippines
Money Museum,Museum,"Manila, NCR",14.56,120.983,Manila,NCR,museum,Money Museum Manila NCR Philippines
Agimat Foraging Bar,Hidden Gem,"Makati, NCR",14.5645,121.033,Makati,NCR,hidden gem,Agimat Foraging Bar Makati NCR Philippines
Alamat Filipino Pub,Hidden Gem,"Makati, NCR",14.564,121.0335,Makati,NCR,hidden gem,Alamat Filipino Pub Makati NCR Philippines
Legazpi Sunday Market,Tourist Attraction,"Makati, NCR",14.553,121.018,Makati,NCR,tourist attraction,Legazpi Sunday Market Makati NCR Philippines
Salcedo Saturday Market,Tourist Attraction,"Makati, NCR",14.56,121.025,Makati,NCR,tourist attraction,Salcedo Saturday Market Makati NCR Philippines
Cartel Coffee Deli,Cafe,"Makati, NCR",14.555,121.02,Makati,NCR,cafe,Cartel Coffee Deli Makati NCR Philippines
Bad Cafe,Cafe,"Makati, NCR",14.557,121.022,Makati,NCR,cafe,Bad Cafe Makati NCR Philippines
Venice Grand Canal Mall,Tourist Attraction,"Taguig, NCR",14.535,121.053,Taguig,NCR,tourist attraction,Venice Grand Canal Mall Taguig NCR Philippines
Manila Ocean Park,Tourist Attraction,"Manila, NCR",14.579,120.972,Manila,NCR,tourist attraction,Manila Ocean Park Manila NCR Philippines
Star City,Tourist Attraction,"Pasay, NCR",14.558,120.985,Pasay,NCR,tourist attraction,Star City Pasay NCR Philippines
SM Mall of Asia Seaside,Tourist Attraction,"Pasay, NCR",14.535,120.98,Pasay,NCR,tourist attraction,SM Mall of Asia Seaside Pasay NCR Philippines
Dessert Museum,Tourist Attraction,"Pasay, NCR",14.537,120.983,Pasay,NCR,tourist attraction,Dessert Museum Pasay NCR Philippines
Baluarte de San Diego,Tourist Attraction,"Manila, NCR",14.586,120.976,Manila,NCR,tourist attraction,Baluarte de San Diego Manila NCR Philippines
Fort Santiago,Tourist Attraction,"Manila, NCR",14.594,120.97,Manila,NCR,tourist attraction,Fort Santiago Manila NCR Philippines
San Agustin Church,Tourist Attraction,"Manila, NCR",14.589,120.975,Manila,NCR,tourist attraction,San Agustin Church Manila NCR Philippines
Rizal Park (Luneta),Nature Park,"Manila, NCR",14.583,120.979,Manila,NCR,nature park,Rizal Park (Luneta) Manila NCR Philippines
Quezon Memorial Circle,Nature Park,"Quezon City, NCR",14.6515,121.049,Quezon City,NCR,nature park,Quezon Memorial Circle Quezon City NCR Philippines
Cubao Expo,Hidden Gem,"Quezon City, NCR",14.621,121.052,Quezon City,NCR,hidden gem,Cubao Expo Quezon City NCR Philippines
University of Santo Tomas,Tourist Attraction,"Manila, NCR",14.61,120.989,Manila,NCR,tourist attraction,University of Santo Tomas Manila NCR Philippines
